State,Year,County,Processed,Approved,Denied,Non_Processed,Denied_HIC,Num_Paid,Total_Paid ,Avg_Paid,Funeral_Payout,Murder_Claims
Texas,2013,Dallam,7,,2,,,2,"$5,962.38","$2,981.19",,
Texas,2013,Dallas,"3,365",,907,,,"1,953","$7,343,216.68","$3,759.97",,
Texas,2013,Dawson,9,,0,,,8,$0.00,$0.00,,
Texas,2013,Deaf Smith,18,,3,,,12,"$61,355.69","$5,112.97",,
Texas,2013,Delta,10,,0,,,8,"$18,882.06","$2,360.26",,
Texas,2013,Denton,335,,64,,,239,"$549,245.02","$2,298.10",,
Texas,2013,Dewitt,17,,4,,,8,"$37,419.93","$4,677.49",,
Texas,2013,Dickens,2,,1,,,1,"$25,237.09","$25,237.09",,
Texas,2013,Dimmit,15,,4,,,6,"$21,014.73","$3,502.46",,
Texas,2013,Donley,5,,0,,,4,"$5,437.08","$1,359.27",,
Texas,2013,Duval,15,,2,,,9,"$23,473.00","$2,608.11",,
Texas,2013,Eastland,18,,5,,,12,"$43,684.89","$3,640.41",,
Texas,2013,Ector,140,,50,,,87,"$365,439.84","$4,200.46",,
Texas,2013,Edwards,3,,0,,,3,"$19,891.51","$6,630.50",,
Texas,2013,Ellis,77,,12,,,53,"$246,124.91","$4,643.87",,
Texas,2013,El Paso,"1,812",,547,,,"1,148","$2,918,834.75","$2,542.54",,
Texas,2013,Erath,33,,7,,,22,"$105,558.66","$4,798.12",,
Texas,2013,Falls,7,,0,,,6,"$28,639.57","$4,773.26",,
Texas,2013,Fannin,36,,5,,,27,"$95,244.47","$3,527.57",,
Texas,2013,Fayette,14,,3,,,8,"$26,448.24","$3,306.03",,
Texas,2013,Fisher,1,,0,,,1,"$1,872.93","$1,872.93",,
Texas,2013,Floyd,1,,0,,,1,"$3,916.00","$3,916.00",,
Texas,2013,Foard,1,,1,,,0,$0.00,#DIV/0!,,
Texas,2013,Fort Bend,362,,81,,,253,"$544,525.63","$2,152.28",,
Texas,2013,Franklin,8,,2,,,3,"$8,998.60","$2,999.53",,
Texas,2013,Freestone,10,,2,,,8,"$3,131.33",$391.42,,
Texas,2013,Frio,12,,1,,,8,"$48,449.82","$6,056.23",,
Texas,2013,Gaines,1,,0,,,1,"$7,592.33","$7,592.33",,
Texas,2013,Galveston,521,,146,,,321,"$646,748.57","$2,014.79",,
Texas,2013,Garza,2,,1,,,1,$244.15,$244.15,,
Texas,2013,Gillespie,13,,5,,,7,"$48,779.69","$6,968.53",,
Texas,2013,Glasscock,2,,0,,,2,$0.00,$0.00,,
Texas,2013,Goliad,3,,1,,,2,$265.00,$132.50,,
Texas,2013,Gonzales,18,,3,,,14,"$96,469.96","$6,890.71",,
Texas,2013,Gray,32,,10,,,17,"$21,741.51","$1,278.91",,
Texas,2013,Grayson,86,,18,,,66,"$246,899.92","$3,740.91",,
Texas,2013,Gregg,110,,27,,,58,"$273,654.97","$4,718.19",,
Texas,2013,Grimes,17,,5,,,12,"$9,327.07",$777.26,,
Texas,2013,Guadalupe,105,,31,,,55,"$255,518.99","$4,645.80",,
Texas,2013,Hale,23,,5,,,14,"$107,658.79","$7,689.91",,
Texas,2013,Hall,1,,1,,,1,$191.22,$191.22,,
Texas,2013,Hamilton,0,,1,,,0,"$9,088.25",#DIV/0!,,
Texas,2013,Hansford,4,,1,,,4,$662.32,$165.58,,
